Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,6597302,8031,Mitsui & Co. Ltd.,27272592,"$484,784,660.22 ",0.112980753,Trading Companies & Distributors,JP,---
,BBJPFY1,VNA,Vonovia SE,8761857,"$470,595,870.11 ",0.109674007,Real Estate Operating Companies,DE,---
,5980613,GIVN,Givaudan SA,149193,"$467,420,894.67 ",0.108934067,Specialty Chemicals,CH,---
,7021963,DB1,Deutsche Boerse AG,2964640,"$464,895,099.70 ",0.108345422,Financial Exchanges & Data,DE,---
,6200882,TCL,Transurban Group,43752483,"$457,962,411.26 ",0.106729735,Highways & Railtracks,AU,---
,B0FS5D6,3382,Seven & i Holdings Co. Ltd.,12436611,"$455,869,405.45 ",0.106241953,Food Retail,JP,---
,5889505,IFX,Infineon Technologies AG,20088370,"$453,885,902.85 ",0.10577969,Semiconductors,DE,---
,BMM27D9,JD,JD.com Inc.,12872314,"$453,491,622.22 ",0.105687802,Internet & Direct Marketing Retail,KY,ADR
,5176177,ORA,Orange SA,30822004,"$452,968,780.20 ",0.105565952,Integrated Telecommunication Services,FR,---
,B0F9V20,O39,Oversea-Chinese Banking Corp. Ltd.,55170778,"$451,327,996.60 ",0.105183561,Diversified Banks,SG,---
,6172323,7751,Canon Inc.,16298790,"$446,073,117.94 ",0.103958894,"Technology Hardware, Storage & Periphera",JP,---
,6805265,4911,Shiseido Co. Ltd.,6265419,"$444,907,356.86 ",0.103687209,Personal Products,JP,---
,B2B0DG9,REL,RELX plc,17569080,"$443,505,351.64 ",0.103360467,Research & Consulting Services,GB,---
,5679591,INVE B,Investor AB Class B,8117520,"$443,166,423.13 ",0.103281478,Multi-Sector Holdings,SE,---
,BDRJLN0,NTR,Nutrien Ltd.,9239201,"$442,340,399.81 ",0.103088971,Fertilizers & Agricultural Chemicals,CA,---
,B01NPJ1,TCS,Tata Consultancy Services Ltd.,14546568,"$440,481,394.39 ",0.102655723,IT Consulting & Other Services,IN,---
,2566124,SLF,Sun Life Financial Inc.,9596505,"$437,571,954.14 ",0.101977668,Life & Health Insurance,CA,---
,2011646,ATD.B,Alimentation Couche-Tard Inc.,13753062,"$436,458,884.93 ",0.101718263,Food Retail,CA,---
,7333378,LONN,Lonza Group AG,1194378,"$435,717,964.34 ",0.101545589,Life Sciences Tools & Services,CH,---
,6597045,6503,Mitsubishi Electric Corp.,31880827,"$434,079,518.74 ",0.101163744,Heavy Electrical Equipment,JP,---
,5966516,GLE,Societe Generale SA,12403771,"$432,868,544.54 ",0.100881522,Diversified Banks,FR,---
,B0C2CQ3,ENGI,Engie SA,26665071,"$431,931,596.15 ",0.100663163,Multi-Utilities,FR,---
,5756029,BMW,Bayerische Motoren Werke AG,5225419,"$427,993,657.63 ",0.099745413,Automobile Manufacturers,DE,---
,4056719,G,Assicurazioni Generali SPA,20690986,"$427,163,152.82 ",0.09955186,Multi-line Insurance,IT,---
,B00G0S5,883,CNOOC Ltd.,256765836,"$426,958,076.80 ",0.099504067,Oil & Gas Exploration & Production,HK,---
,6474535,2914,Japan Tobacco Inc.,19092735,"$425,702,197.35 ",0.09921138,Tobacco,JP,---
,6220103,RIO,Rio Tinto Ltd.,5995146,"$424,159,529.19 ",0.098851856,Diversified Metals & Mining,AU,---
,6763965,6273,SMC Corp./Japan,925723,"$423,347,409.76 ",0.098662588,Industrial Machinery,JP,---
,5959378,ERIC B,Telefonaktiebolaget LM Ericsson Class B,48307185,"$422,099,274.40 ",0.098371706,Communications Equipment,SE,---
,BF2DSG3,SIKA,Sika AG,2238197,"$420,323,381.65 ",0.097957828,Specialty Chemicals,CH,---
,BJT1GR5,ALC,Alcon Inc.,7404904,"$419,425,723.03 ",0.097748626,Health Care Supplies,CH,---
,6648891,4661,Oriental Land Co. Ltd./Japan,3035050,"$414,106,357.64 ",0.096508929,Leisure Facilities,JP,---
,BD0Q398,AD,Koninklijke Ahold Delhaize NV,16481858,"$413,241,538.89 ",0.09630738,Food Retail,NL,---
,BD97BN2,ATCO A,Atlas Copco AB Class A,10331546,"$412,390,580.17 ",0.096109061,Industrial Machinery,SE,---
,BW9P816,1,CK Hutchison Holdings Ltd.,43228081,"$412,200,833.81 ",0.09606484,Industrial Conglomerates,KY,---
,B09M9D2,KNEBV,Kone Oyj Class B,6302546,"$412,111,718.84 ",0.096044071,Industrial Machinery,FI,---
,6916781,U11,United Overseas Bank Ltd.,20814369,"$409,348,541.03 ",0.095400103,Diversified Banks,SG,---
,6148197,QNBK,Qatar National Bank QPSC,71794422,"$406,239,368.51 ",0.0946755,Diversified Banks,QA,---
,7792559,HEIA,Heineken NV,3798168,"$405,372,310.24 ",0.094473429,Brewers,NL,---
,B1QH830,VOLV B,Volvo AB Class B,24130497,"$403,973,292.82 ",0.094147383,Construction Machinery & Heavy Trucks,SE,---
,408284,STAN,Standard Chartered plc,42477074,"$400,267,975.40 ",0.093283846,Diversified Banks,GB,---
,2682365,PETR3,Petroleo Brasileiro SA,49183378,"$393,969,384.76 ",0.091815937,Integrated Oil & Gas,BR,---
,BYZF9J9,NDA SE,Nordea Bank Abp,48220505,"$390,112,908.77 ",0.090917172,Diversified Banks,FI,---
,263494,BA.,BAE Systems plc,51739075,"$387,389,513.84 ",0.090282475,Aerospace & Defense,GB,---
,560399,LGEN,Legal & General Group plc,95445776,"$383,413,688.90 ",0.089355896,Life & Health Insurance,GB,---
,454492,IMB,Imperial Brands plc,15375651,"$380,400,770.96 ",0.088653725,Tobacco,GB,---
,4834777,VIV,Vivendi SA,13059702,"$378,178,542.79 ",0.088135827,Movies & Entertainment,FR,---
,B01C1P6,BBCA,Bank Central Asia Tbk PT,155953477,"$375,069,138.23 ",0.087411169,Diversified Banks,ID,---
,4942904,EOAN,E.ON SE,35028353,"$374,345,409.38 ",0.087242501,Multi-Utilities,DE,---
,7110753,LHN,LafargeHolcim Ltd.,6741920,"$374,024,746.84 ",0.08716777,Construction Materials,CH,---
,5253973,RMS,Hermes International,496309,"$371,790,976.34 ",0.086647182,"Apparel, Accessories & Luxury Goods",FR,---
,B1WT5G2,DSV,DSV PANALPINA A/S,3223636,"$371,608,378.63 ",0.086604627,Air Freight & Logistics,DK,---
,B0HZL93,DSM,Koninklijke DSM NV,2834735,"$370,630,923.19 ",0.086376827,Specialty Chemicals,NL,---
,6885074,4543,Terumo Corp.,10445686,"$370,553,655.36 ",0.08635882,Health Care Equipment,JP,---
,6597603,8801,Mitsui Fudosan Co. Ltd.,15155906,"$370,409,260.23 ",0.086325168,Diversified Real Estate Activites,JP,---
,4352097,FRE,Fresenius SE & Co. KGaA,6570626,"$369,753,683.53 ",0.086172384,Health Care Services,DE,---
,6979728,WPL,Woodside Petroleum Ltd.,15113241,"$365,419,377.86 ",0.085162259,Oil & Gas Exploration & Production,AU,---
,B0PB4M7,823,Link REIT,34086993,"$361,116,856.03 ",0.084159541,Retail REITs,HK,---
,3091357,BT.A,BT Group plc,140871901,"$358,970,907.44 ",0.08365942,Integrated Telecommunication Services,GB,---
,6596729,8802,Mitsubishi Estate Co. Ltd.,18706627,"$357,949,020.53 ",0.083421266,Diversified Real Estate Activites,JP,---
,2667470,AMXL,America Movil SAB de CV,443341589,"$354,063,625.22 ",0.082515761,Wireless Telecommunication Services,MX,---
,6496584,6301,Komatsu Ltd.,14747068,"$353,951,117.86 ",0.082489541,Construction Machinery & Heavy Trucks,JP,---
,2606440,NTES,NetEase Inc.,1153500,"$353,709,240 ",0.08243317,Interactive Home Entertainment,KY,ADR
,6372480,2454,MediaTek Inc.,23840239,"$353,242,857.55 ",0.082324478,Semiconductors,TW,---
,B11ZRK9,LR,Legrand SA,4311604,"$352,103,700.22 ",0.082058994,Electrical Components & Equipment,FR,---
,6859927,16,Sun Hung Kai Properties Ltd.,22936840,"$351,275,024.73 ",0.081865868,Diversified Real Estate Activites,HK,---
,5330047,DSY,Dassault Systemes SE,2125714,"$350,585,833.57 ",0.08170525,Application Software,FR,---
,4588364,ML,Cie Generale des Etablissements Michelin SCA,2844429,"$350,034,500.80 ",0.08157676,Tires & Rubber,FR,---
,BZ1HM42,ADYEN,Adyen NV,425381,"$349,918,270.56 ",0.081549672,Data Processing & Outsourced Services,NL,---
,216238,AV.,Aviva plc,62901232,"$349,138,683.99 ",0.081367986,Multi-line Insurance,GB,---
,6889526,NBK,National Bank of Kuwait SAKP,98497399,"$347,703,176.55 ",0.081033436,Diversified Banks,KW,---
