,SEDOL,ticker,name,ESG
2209,6351876,TPM,TPG Telecom Ltd.,Y
2210,BH6X937,3380,Logan Property Holdings Co. Ltd.,Y
2211,6173508,HVN,Harvey Norman Holdings Ltd.,Y
2212,BNBNNH6,ONTEX,Ontex Group NV,Y
2213,6180274,D01,Dairy Farm International Holdings Ltd.,Y
2214,B8XBQ96,2196,Shanghai Fosun Pharmaceutical Group Co. Ltd.,N
2215,6777007,SAP,Sappi Ltd.,Y
2216,5119901,DUE,Duerr AG,Y
2217,BYZ5XN1,7180,Kyushu Financial Group Inc.,N
2218,B9B3FG1,DOO,BRP Inc.,Y
2219,B3PRM66,JUBLFOOD,Jubilant Foodworks Ltd.,Y
2220,B194YN0,3048,Bic Camera Inc.,N
2221,BLWF8B6,SFSN,SFS Group AG,Y
2222,BZ24134,INTER,Intertrust NV,Y
2223,B39Z8G8,11070,LG Innotek Co. Ltd.,Y
2224,BFY6LL6,PDL,Pendal Group Ltd.,Y
2225,4350035,FORN,Forbo Holding AG,Y
2226,6013154,ALHE,Alony Hetz Properties & Investments Ltd.,N
2227,BRK0MM4,VII,Seven Generations Energy Ltd. Class A,N
2228,6687991,1719,Hazama Ando Corp.,Y
2229,B011Y09,GCC,C&C Group plc,N
2230,6642428,7240,NOK Corp.,Y
2231,BYX3N48,RMI,Rand Merchant Investment Holdings Ltd.,Y
2232,5769209,ARCAD,Arcadis NV,N
2233,6208422,694,Beijing Capital International Airport Co. Ltd.,Y
2234,BD4GT29,2611,Guotai Junan Securities Co. Ltd.,N
2235,6602648,2264,Morinaga Milk Industry Co. Ltd.,Y
2236,BV9FP30,CCC,Computacenter plc,Y
2237,B3NWJQ2,MIC,Genworth MI Canada Inc.,Y
2238,6098032,BEZQ,Bezeq The Israeli Telecommunication Corp. Ltd.,Y
2239,6455217,IJM,IJM Corp. Bhd.,Y
2240,6804035,8227,Shimamura Co. Ltd.,Y
2241,BMM1PP4,STM,STABILUS SA,Y
2242,B77H110,GTCAP,GT Capital Holdings Inc.,N
2243,6005504,177,Jiangsu Expressway Co. Ltd.,Y
2244,2491914,KIMBERA,Kimberly-Clark de Mexico SAB de CV Class A,Y
2245,B09M9L0,CGCBV,Cargotec Oyj Class B,Y
2246,6188193,AIRPORT,Malaysia Airports Holdings Bhd.,Y
2247,6410562,HAR,Harmony Gold Mining Co. Ltd.,Y
2248,6744250,6674,GS Yuasa Corp.,Y
2249,B031NN3,CPFE3,CPFL Energia SA,N
2250,B0WC2B8,2689,Nine Dragons Paper Holdings Ltd.,Y
2251,6695938,PETDAG,Petronas Dagangan Bhd.,Y
2252,BG0ZVG9,CONCOR,Container Corp. Of India Ltd.,Y
2253,B682FM6,CGX,Cineplex Inc.,Y
2254,6374226,6457,Glory Ltd.,Y
2255,B1VNSX3,DRX,Drax Group plc,Y
2256,B0744W4,MTS,Metcash Ltd.,Y
2257,6619820,8012,Nagase & Co. Ltd.,Y
2258,5468324,EBRO,Ebro Foods SA,N
2259,6215273,2313,Compeq Manufacturing Co. Ltd.,Y
2260,B0D7494,ENBR3,EDP - Energias do Brasil SA,Y
2261,6719764,PGAS,Perusahaan Gas Negara Tbk PT,N
2262,2809777,SJ,Stella-Jones Inc.,N
2263,BYXJC27,IBST,Ibstock plc,Y
2264,6000305,358,Jiangxi Copper Co. Ltd.,Y
2265,5094536,COP,CompuGroup Medical SE,Y
2266,B1DGKS9,8418,Yamaguchi Financial Group Inc.,N
2267,5260768,SIX2,Sixt SE,N
2268,B584T89,ERF,Enerplus Corp.,N
2269,6732200,3941,Rengo Co. Ltd.,Y
2270,6879851,1504,Teco Electric and Machinery Co. Ltd.,Y
2271,B0BM5T8,3311,China State Construction International Holdings Ltd.,Y
2272,B1Z8F66,2350,Saudi Kayan Petrochemical Co.,N
2273,6936574,1605,Walsin Lihwa Corp.,Y
2274,B7S9G98,PTEC,Playtech plc,N
2275,B08X163,U96,Sembcorp Industries Ltd.,Y
2276,B66Y3W0,PFAVAL,Grupo Aval Acciones y Valores Preference Shares,Y
2277,B1VJS64,PAGEIND,Page Industries Ltd.,Y
2278,6870401,8233,Takashimaya Co. Ltd.,Y
2279,B1P1JR4,7313,TS Tech Co. Ltd.,Y
2280,B8B8PJ2,3863,Nippon Paper Industries Co. Ltd.,Y
2281,B1L8B62,EIG,EI Group plc,N
2282,BF1YBK2,AUBANK,AU Small Finance Bank Ltd.,Y
2283,6238645,CSR,CSR Ltd.,Y
2284,B5LMKP4,NXT,NEXTDC Ltd.,Y
2285,6158174,ORDS,OOREDOO QPSC,Y
2286,4754972,DEQ,Deutsche EuroShop AG,N
2287,6299192,GMT,Goodman Property Trust,Y
2288,BR17150,RKET,Rocket Internet SE,Y
2289,6158709,BRG,Breville Group Ltd.,Y
2290,6870382,2531,Takara Holdings Inc.,N
2291,4247494,DIE,D'ieteren SA/NV,Y
2292,B059SR4,3406,Genius Electronic Optical Co. Ltd.,Y
2293,B17ZL56,MIN,Mineral Resources Ltd.,Y
2294,386410,GNC,Greencore Group plc,Y
2295,B0VL7C2,ALK B,ALK-Abello A/S,Y
2296,6468282,8385,Iyo Bank Ltd.,Y
2297,988742,SYNT,Synthomer plc,Y
2298,6297497,IRE,IRESS Ltd.,Y
2299,6688068,PIK,Pick n Pay Stores Ltd.,Y
2300,6357562,5801,Furukawa Electric Co. Ltd.,Y
2301,BZ1DZ96,REY,Reply SPA,Y
2302,BDB6DD1,IEL,IDP Education Ltd.,Y
2303,6640927,1332,Nippon Suisan Kaisha Ltd.,Y
2304,B4Q4CJ6,2607,Shanghai Pharmaceuticals Holding Co. Ltd.,N
2305,B74CDH8,CNE,Cairn Energy plc,N
2306,BYM8V06,TRUE-F,True Corp. PCL,Y
2307,B29TNV3,INE,Innergex Renewable Energy Inc.,Y
2308,B4X4D29,FLRY3,FLEURY SA,Y
2309,BY9D3L9,1530,3SBio Inc.,Y
2310,6455143,165,China Everbright Ltd.,Y
2311,BF2LWT8,KTC-F,Krungthai Card PCL,Y
2312,BK9S758,MTM,Momentum Metropolitan Holdings,Y
2313,6804347,9507,Shikoku Electric Power Co. Inc.,N
2314,7517893,VATN,Valiant Holding AG,Y
2315,B0166H5,BH-F,Bumrungrad Hospital PCL (Foreign),Y
2316,6496023,5406,Kobe Steel Ltd.,N
2317,6537096,6360,GS Engineering & Construction Corp.,N
2318,6928560,303,VTech Holdings Ltd.,Y
2319,B00LR01,18880,Hanon Systems,Y
2320,B0HZPV3,KAZ,KAZ Minerals plc,Y
2321,B08V9H4,POM,Cie Plastic Omnium SA,Y
2322,2646123,WIT,Wipro Ltd. ADR,N
2323,B011GL4,NK,Imerys SA,Y
2324,6893884,1860,Toda Corp.,N
2325,BDB46J2,CLW,Charter Hall Long Wale REIT,N
2326,B59FPS3,MTSS,Mobile TeleSystems PJSC,Y
2327,BJQZC27,DMGT,Daily Mail & General Trust plc,Y
2328,B2QPKJ1,FRES,Fresnillo plc,Y
2329,BFYDWS1,NETC,Netcompany Group A/S,Y
2330,6657789,6103,OKUMA Corp.,N
2331,B60DR09,3635,Koei Tecmo Holdings Co. Ltd.,Y
2332,B44ZV94,1378,China Hongqiao Group Ltd.,Y
2333,BG0R3M5,HDFCAMC,HDFC Asset Management Co. Ltd.,Y
2334,6932204,3591,Wacoal Holdings Corp.,Y
2335,B247XZ6,MER,Manila Electric Co.,Y
2336,BF5DGN3,TCAP-F,Thanachart Capital PCL,Y
2337,BP4W2Q6,CON,Conzzeta AG,Y
2338,B40B271,ASR,Alacer Gold Corp.,Y
2339,6858548,5232,Sumitomo Osaka Cement Co. Ltd.,Y
2340,2555865,MFI,Maple Leaf Foods Inc.,Y
2341,B07C796,ALPA4,Alpargatas SA Preference Shares,Y
2342,2495648,SKM,SK Telecom Co. Ltd.,Y
2343,BP3R2M8,600900,China Yangtze Power Co. Ltd. Class A,N
2344,6123815,FIBI,First International Bank Of Israel Ltd.,Y
2345,B1Z4ST8,PFG,Provident Financial plc,Y
2346,BN40H61,ELIOR,Elior Group SA,Y
2347,BYQ9796,3799,Dali Foods Group Co. Ltd.,N
2348,B61BG94,8283,PALTAC Corp.,Y
2349,BYNGG26,3320,China Resources Pharmaceutical Group Ltd.,Y
2350,214834,RAT,Rathbone Brothers plc,Y
2351,B544PW9,PGE,PGE Polska Grupa Energetyczna SA,N
2352,B1XQXC4,WHC,Whitehaven Coal Ltd.,N
2353,B1G4262,KIO,Kumba Iron Ore Ltd.,Y
2354,B58C6H1,APAM,APERAM SA,Y
2355,B235JN1,MRVE3,MRV Engenharia e Participacoes SA,Y
2356,6459286,IFT,Infratil Ltd.,Y
2357,4681724,IFCN,Inficon Holding AG,Y
2358,6180230,12750,S-1 Corp.,N
2359,B01NFV3,BOSCHLTD,Bosch Ltd.,Y
2360,6875677,2371,Tatung Co. Ltd.,Y
2361,BYYFHZ2,BUOU,Frasers Logistics & Industrial Trust,Y
2362,B0498T7,PSSA3,Porto Seguro SA,Y
2363,6054904,4401,ADEKA Corp.,Y
2364,6776907,2501,Sapporo Holdings Ltd.,N
2365,6250627,5471,Daido Steel Co. Ltd.,Y
2366,2077347,LB,Laurentian Bank of Canada,Y
2367,BD0FRL5,RBLBANK,RBL Bank Ltd.,Y
2368,6602563,6141,DMG Mori Co. Ltd.,Y
2369,6113485,TRU,Truworths International Ltd.,Y
2370,BD9FS46,FFA,Fortress REIT Ltd.,Y
2371,6775432,6417,Sankyo Co. Ltd.,N
2372,BYWZNK1,IDFCFIRSTB,IDFC Bank,Y
2373,6655620,6136,OSG Corp.,N
2374,2648862,GOAU4,Metalurgica Gerdau SA Preference Shares Class A,Y
2375,B03MYS8,ISCTR,Turkiye Is Bankasi AS,Y
2376,BH57BM3,ADDT B,AddTech AB,Y
2377,6894304,7729,Tokyo Seimitsu Co. Ltd.,Y
2378,6805362,9601,Shochiku Co. Ltd.,N
2379,6160038,EBO,EBOS Group Ltd.,Y
2380,4645742,NCC B,NCC AB Class B,Y
2381,BG804F6,ABEV,Ambev SA,N
2382,163895,JDW,J D Wetherspoon plc,N
2383,4713490,ROCK B,Rockwool International A/S Class B,Y
2384,B1CKQ73,DNLM,Dunelm Group plc,Y
2385,4557999,IMA,IMA Industria Macchine Automatiche SPA,Y
2386,BH3FTS1,1233,Times China Holdings Ltd.,Y
2387,BYSJJ43,5021,Cosmo Energy Holdings Co. Ltd.,N
2388,BP3R239,601988,Bank of China Ltd.,N
2389,BV9FWX9,GVNV,GrandVision NV,Y
2390,B02R4D9,AKER,Aker ASA,N
2391,6101026,LICHSGFIN,LIC Housing Finance Ltd.,Y
2392,427030,HILS,Hill & Smith Holdings plc,Y
2393,6894898,4186,Tokyo Ohka Kogyo Co. Ltd.,Y
2394,B1LHCW2,MINDTREE,Mindtree Ltd.,N
2395,B1PQHS6,FAE,Faes Farma SA,Y
2396,BTDY2M7,KPG,Kiwi Property Group Ltd.,Y
2397,6197304,7762,Citizen Watch Co. Ltd.,Y
2398,B61X7R5,1308,SITC International Holdings Co. Ltd.,Y
2399,BN574F9,WIZZ,Wizz Air Holdings plc,Y
2400,BWGCFG4,3606,Fuyao Glass Industry Group Co. Ltd.,N
2401,B17NZ47,J69U,Frasers Centrepoint Trust,N
2402,BP3R2J5,600030,CITIC Securities Co. Ltd.,N
2403,BYSS4Q7,DFDS,Dfds A/S,N
2404,6619648,5991,NHK Spring Co. Ltd.,Y
2405,6356592,6134,Fuji Corp./Aichi,N
2406,BGJVB13,JEN,Jenoptik AG,Y
2407,BD0CRV6,ENAV,Enav SPA,Y
2408,6392422,123,Yuexiu Property Co. Ltd.,Y
2409,B074435,ESNT,Essentra plc,Y
2410,6075723,8379,Hiroshima Bank Ltd.,Y
2411,BGM5R25,780,Tongcheng-Elong Holdings Ltd.,Y
2412,B29SHS5,285,BYD Electronic International Co. Ltd.,Y
2413,2434180,HCG,Home Capital Group Inc. Class B,Y
2414,6894467,4045,Toagosei Co. Ltd.,Y
2415,6584445,9914,Merida Industry Co. Ltd.,Y
2416,6354251,1199,COSCO SHIPPING Ports Ltd.,Y
2417,BFZNLB6,AJB,AJ Bell plc,N
2418,6468152,8273,Izumi Co. Ltd.,Y
2419,B0FXSY3,467,United Energy Group Ltd.,N
2420,BLLJ381,ANIM,ANIMA HOLDING SPA,Y
2421,7130836,NEX,Nexans SA,N
2422,B00G234,QL,QL Resources Bhd.,Y
2423,6154075,2542,Highwealth Construction Corp.,N
2424,2684349,PARAUCO,Parque Arauco SA,Y
2425,B1P31B8,A7RU,Keppel Infrastructure Trust,N
2426,B1L3K60,PZOL,Paz Oil Co. Ltd.,Y
2427,6462422,INKP,Indah Kiat Pulp & Paper Corp. Tbk PT,Y
2428,BJ7HN18,SRAIL,Stadler Rail AG,N
2429,B03N0C7,SAHOL,Haci Omer Sabanci Holding AS (Bearer),Y
2430,6398088,8334,Gunma Bank Ltd.,N
2431,BP3QYZ2,LOG,Cia de Distribucion Integral Logista Holdings SA,Y
2432,6900182,5105,Toyo Tire Corp.,Y
2433,2196189,CCU,Cia Cervecerias Unidas SA,N
2434,B3BQFC4,ADRO,Adaro Energy Tbk PT,N
2435,B82YXW8,VSVS,Vesuvius plc,Y
